#Trigger Channel,#Trigger Button,#Deadman Button,#Return Channel,#AudioBox Filename,#Script Name,#Disable Firing Button,#Alternate Firing Button,#Alternate 2 Firing Button,,
0,1,,0,,,,,,,
#Event Time,#Channel,#Cue,#Event Description,#Disable Groups,#Fire Time,#AUX Value,#DMX Universe,#DMX Channel,#DMX Value,#DMX Duration
00:00.00s,1,1,,,,,,,,
STEP,1,2,,,,,,,,
00:15.00s,1,10,,,,,,,,
00:20.50s,1,3,,,,,,,,
00:23.10s,1,4,,,,,,,,
STEP,1,5,,,,,,,,
00:10.10s,1,6,,,,,,,,
00:15.00s,1,7,,,,,,,,
00:20.00s,1,8,,,,,,,,
STEP,1,9,,,,,,,,
END,,,,,,,,,,
